timestamp,tapas-comic-page.views,tapas-comic-page.views.diff,tapas-creator-page.subs,tapas-creator-page.subs.diff,tapas-popular-first-page.rank,tapas-staff-picks-first-page.rank,tapas-trending-first-page.rank,webtoons-public-comic-page.rating,webtoons-public-comic-page.rating.diff,webtoons-public-comic-page.views,webtoons-public-comic-page.views.diff,webtoons.likes,webtoons.likes.diff,webtoons.montly_pvs,webtoons.montly_pvs.diff,webtoons.subs,webtoons.subs.diff
2017-12-26-22-51,,,,,,,,,,,,29733,,114052,,17165,
2017-12-26-22-54,,,,,,,,,,,,29733,0,114052,0,17165,0
2017-12-26-22-59,,,,,,,,,,,,29733,0,114052,0,17165,0
2017-12-26-23-01,,,,,,,,,,,,29733,0,114052,0,17167,2
2017-12-26-23-25,299201,,,,,,,,,,,,,,,,
2017-12-26-23-27,,,10372,,,,,,,,,,,,,,
2017-12-26-23-35,299214,,10372,0,,,,,,,,29733,,116180,,17169,
2017-12-26-23-38,,,10372,0,,,,,,,,29733,0,116180,0,17169,0
2017-12-26-23-41,299214,,10372,0,,,,,,,,29733,0,116180,0,17170,1
2017-12-27-00-48,299228,14,10372,0,,,,,,,,29735,2,116180,0,17178,8
2017-12-27-00-58,299253,25,10373,1,,,,,,,,29735,0,116180,0,17179,1
2017-12-27-01-05,299281,28,10373,0,,,,,,,,29735,0,116180,0,17180,1
2017-12-27-01-48,299349,68,10375,2,,,,,,,,,,,,,
2017-12-27-01-51,299349,0,10375,0,,,,,,,,,,,,,
2017-12-27-01-54,299349,0,10375,0,,,,,,,,29736,,116180,,17183,
2017-12-27-02-00,299349,0,10375,0,,,,,,,,29736,0,116180,0,17183,0
2017-12-27-02-10,299350,1,10375,0,,,,,,,,29736,0,116180,0,17184,1
2017-12-27-12-00,299609,259,10382,7,,,,,,,,29781,45,116180,0,17207,23
2017-12-27-13-00,299662,53,10384,2,,,,,,,,29781,0,116180,0,17209,2
2017-12-27-20-00,300092,430,10393,9,,,,,,,,29826,45,116180,0,17229,20
2017-12-28-03-00,300587,495,10408,15,,,,,,,,29834,8,118471,2291,17256,27
2017-12-28-03-03,300589,2,10408,0,,,,,,,,29837,3,118471,0,17256,0
2017-12-28-03-36,,,,,,,,,,572900,,,,,,,
2017-12-28-03-50,,,,,,,,9.28,,,,,,,,,
2017-12-28-04-15,,,,,Not on front page,,,,,,,,,,,,
2017-12-28-04-17,300594,,10408,,Not on front page,Not on front page,Not on front page,9.28,,572900,,29840,,118471,,17256,
2017-12-28-05-00,300599,5,10408,0,Not on front page,Not on front page,Not on front page,9.28,0.0,572900,0,29840,0,118471,0,17256,0
2017-12-28-14-05,300862,263,10420,12,Not on front page,Not on front page,Not on front page,9.28,0.0,573500,600,29841,1,,,,
2017-12-28-15-00,300865,3,10422,2,Not on front page,Not on front page,Not on front page,9.28,0.0,573600,100,,,,,,
2017-12-28-16-07,300922,57,10422,0,Not on front page,Not on front page,Not on front page,9.28,0.0,573700,100,29878,,118471,,17265,
2017-12-28-20-00,301089,167,10426,4,Not on front page,Not on front page,Not on front page,9.28,0.0,574300,600,29920,42,118471,0,17274,9
2017-12-28-21-00,,,,,Not on front page,Not on front page,,,,,,29920,0,,,17279,5
2017-12-28-22-00,301267,,10431,,Not on front page,Not on front page,Not on front page,9.28,,574700,,29920,0,118471,,17280,1
2017-12-28-23-00,301314,47,10432,1,Not on front page,Not on front page,Not on front page,9.28,0.0,574800,100,29921,1,118471,0,17283,3
2017-12-29-00-00,301403,89,10433,1,Not on front page,Not on front page,Not on front page,9.28,0.0,574900,100,29923,2,120481,2010,17284,1
2017-12-29-01-00,301472,69,10437,4,Not on front page,Not on front page,Not on front page,9.28,0.0,575100,200,29923,0,120481,0,17288,4
2017-12-29-02-00,301587,115,10440,3,Not on front page,Not on front page,Not on front page,9.28,0.0,575100,0,29923,0,120481,0,17288,0
2017-12-29-03-00,301626,39,10442,2,Not on front page,Not on front page,Not on front page,9.28,0.0,575300,200,29923,0,120481,0,17291,3
2017-12-29-03-07,301630,4,10442,0,Not on front page,Not on front page,Not on front page,9.28,0.0,575300,0,29923,0,120481,0,17291,0
2017-12-29-04-00,301670,40,10443,1,Not on front page,Not on front page,Not on front page,9.28,0.0,575300,0,29923,0,120481,0,17293,2
2017-12-29-10-00,301897,227,10448,5,Not on front page,Not on front page,Not on front page,9.28,0.0,575600,300,29962,39,120481,0,17298,5
2017-12-29-11-13,301936,39,10451,3,Not on front page,Not on front page,Not on front page,9.28,0.0,575700,100,29962,0,120481,0,17300,2
2017-12-30-00-00,302772,836,10470,19,Not on front page,Not on front page,Not on front page,9.29,0.009999999999999787,577100,1400,30036,74,121974,1493,17321,21
2017-12-30-01-00,302804,32,10472,2,Not on front page,Not on front page,Not on front page,9.29,0.0,577200,100,30037,1,121974,0,17324,3
2017-12-30-02-00,302886,82,10475,3,Not on front page,Not on front page,Not on front page,9.29,0.0,577300,100,30037,0,121974,0,17322,-2
2017-12-30-12-03,,,,,,,,,,,,30084,47,,,17329,7
