timestamp,rank-in.tapas.popular-comics,rank-in.tapas.popular-comics.diff,rank-in.tapas.staff-picks-comics,rank-in.tapas.staff-picks-comics.diff,rank-in.tapas.trending-comics,rank-in.tapas.trending-comics.diff,tapas.subs,tapas.subs.diff,tapas.views,tapas.views.diff,webtoons.likes,webtoons.likes.diff,webtoons.monthly_pvs,webtoons.monthly_pvs.diff,webtoons.rating,webtoons.rating.diff,webtoons.subs,webtoons.subs.diff,webtoons.views,webtoons.views.diff
2017-12-26-22-41,,,,,,,,,,,29733,,114052,,,,17166,,,
2017-12-26-22-42,,,,,,,,,,,29733,0,114052,0,,,17166,0,,
2017-12-26-22-47,,,,,,,,,,,29733,0,114052,0,,,17166,0,,
2017-12-26-22-48,,,,,,,,,,,29733,0,114052,0,,,17166,0,,
2017-12-26-22-51,,,,,,,,,,,29733,0,114052,0,,,17165,-1,,
2017-12-26-22-55,,,,,,,,,,,29733,0,114052,0,,,17165,0,,
2017-12-26-23-00,,,,,,,,,,,29733,0,114052,0,,,17165,0,,
2017-12-26-23-01,,,,,,,,,,,29733,0,114052,0,,,17167,2,,
2017-12-26-23-25,,,,,,,,,299201,,,,,,,,,,,
2017-12-26-23-26,,,,,,,10372,,,,,,,,,,,,,
2017-12-26-23-27,,,,,,,10372,0,,,,,,,,,,,,
2017-12-26-23-35,,,,,,,,,299214,,,,,,,,,,,
2017-12-26-23-38,,,,,,,10372,,,,29733,,116180,,,,17169,,,
2017-12-26-23-41,,,,,,,,,299214,,,,,,,,,,,
2017-12-26-23-43,,,,,,,10372,,,,29733,,116180,,,,17169,,,
2017-12-26-23-59,,,,,,,,,299215,,,,,,,,,,,
2017-12-27-00-00,,,,,,,10372,,,,29733,,116180,,,,17170,,,
2017-12-27-00-05,,,,,,,,,299215,,,,,,,,,,,
2017-12-27-00-06,,,,,,,,,299215,0,,,,,,,,,,
2017-12-27-00-26,,,,,,,,,299221,6,,,,,,,,,,
2017-12-27-00-28,,,,,,,10372,,299221,0,29733,,116180,,,,17174,,,
2017-12-27-00-48,,,,,,,10372,0,299228,7,29735,2,116180,0,,,17178,4,,
2017-12-27-00-58,,,,,,,10373,1,299253,25,29735,0,116180,0,,,17179,1,,
2017-12-27-01-05,,,,,,,10373,0,299281,28,29735,0,116180,0,,,17180,1,,
2017-12-27-01-48,,,,,,,10375,2,299349,68,,,,,,,,,,
2017-12-27-01-51,,,,,,,10375,0,299349,0,,,,,,,,,,
2017-12-27-01-54,,,,,,,10375,0,299349,0,29736,,116180,,,,17183,,,
2017-12-27-02-00,,,,,,,10375,0,299349,0,29736,0,116180,0,,,17183,0,,
2017-12-27-02-10,,,,,,,10375,0,299350,1,29736,0,116180,0,,,17184,1,,
2017-12-30-18-10,,,,,,,10489,114,303355,4005,,,,,9.29,,,,578700,
2017-12-30-18-14,,,,,,,10489,0,303355,0,,,,,9.29,0.0,,,578700,0
2017-12-30-18-15,,,,,,,10489,0,303355,0,,,,,9.29,0.0,,,578700,0
2017-12-30-18-17,,,,,,,10489,0,303355,0,30122,,121974,,9.29,0.0,17345,,578700,0
2017-12-30-18-20,,,,,,,10489,0,303363,8,30122,0,121974,0,9.29,0.0,17345,0,578700,0
2017-12-30-18-27,,,,,,,10489,0,,,,,,,9.29,0.0,,,578700,0
2017-12-30-18-31,,,,,,,10489,0,303371,,30122,,121974,,9.29,0.0,17347,,578700,0
2017-12-30-18-38,,,,,,,10489,0,303371,0,30122,0,121974,0,9.29,0.0,17347,0,578700,0
2017-12-30-18-40,,,,,,,10489,0,,,,,,,,,,,,
2017-12-31-14-46,,,,,,,10515,26,303989,,30242,,123737,,9.29,,17382,,580400,
2018-01-01-13-46,,,,,30,,10546,31,304849,860,30339,97,0,-123737,9.29,0.0,17420,38,582100,1700
2018-01-01-15-47,,,,,,,10557,11,304983,134,30360,21,0,0,9.29,0.0,17427,7,582400,300
2018-01-02-22-56,,,,,,,10606,49,306627,1644,30514,154,1829,1829,9.29,0.0,17489,62,585700,3300
