timestamp,Tap Subs,T New Subs,T Views,T New Views,Webtoons Views,Webtoons New Views,Webtoons Rating,Trending Position,Popular Position
2017-12-26-23-59,,,299215,,,,,,
2017-12-27-20-00,10393,,300092,877,,,,,
2017-12-28-23-00,10432,39,301314,1222,574800,,9.28,,
2017-12-29-11-13,10451,19,301936,622,575700,900,9.28,,
2017-12-30-20-00,10492,41,303472,1536,578900,3200,9.29,,
2017-12-31-23-21,,,,,,,,,
2018-01-01-17-32,,,,,,,,,
2018-01-02-23-00,10606,,306627,,585800,,9.29,,
2018-01-03-01-25,10609,3,306690,63,586000,200,9.29,,
2018-01-04-23-00,10671,62,308487,1797,589000,3000,9.29,,
2018-01-05-23-00,10692,21,309222,735,590600,1600,9.29,,
2018-01-06-23-30,10818,126,322234,13012,592000,1400,9.29,,13
2018-01-07-02-30,10842,24,323871,1637,592200,200,9.3,,14
