timestamp,Trending Position,Popular Position
2017-12-26-22-41,,
2017-12-26-22-42,,
2017-12-26-22-47,,
2017-12-26-22-48,,
2017-12-26-22-51,,
2017-12-26-22-55,,
2017-12-26-23-00,,
2017-12-26-23-01,,
2017-12-26-23-25,,
2017-12-26-23-26,,
2017-12-26-23-27,,
2017-12-26-23-35,,
2017-12-26-23-38,,
2017-12-26-23-41,,
2017-12-26-23-43,,
2017-12-26-23-59,,
2017-12-27-00-00,,
2017-12-27-00-05,,
2017-12-27-00-06,,
2017-12-27-00-22,,
2017-12-27-00-26,,
2017-12-27-00-28,,
2017-12-27-00-48,,
2017-12-27-00-58,,
2017-12-27-01-05,,
2017-12-27-01-48,,
2017-12-27-01-51,,
2017-12-27-01-54,,
2017-12-27-02-00,,
2017-12-27-02-10,,
2017-12-27-12-00,,
2017-12-27-13-00,,
2017-12-27-20-00,,
2017-12-28-03-00,,
2017-12-28-03-03,,
2017-12-28-03-24,,
2017-12-28-03-36,,
2017-12-28-03-37,,
2017-12-28-03-49,,
2017-12-28-03-50,,
2017-12-28-04-07,,
2017-12-28-04-15,,
2017-12-28-04-17,,
2017-12-28-05-00,,
2017-12-28-14-05,,
2017-12-28-15-00,,
2017-12-28-16-07,,
2017-12-28-20-00,,
2017-12-28-21-00,,
2017-12-28-22-00,,
2017-12-28-23-00,,
2017-12-29-00-00,,
2017-12-29-01-00,,
2017-12-29-02-00,,
2017-12-29-03-00,,
2017-12-29-03-07,,
2017-12-29-04-00,,
2017-12-29-10-00,,
2017-12-29-11-13,,
2017-12-30-00-00,,
2017-12-30-01-00,,
2017-12-30-02-00,,
2017-12-30-12-03,,
2017-12-30-13-11,,
2017-12-30-18-00,,
2017-12-30-18-10,,
2017-12-30-18-14,,
2017-12-30-18-15,,
2017-12-30-18-17,,
2017-12-30-18-20,,
2017-12-30-18-27,,
2017-12-30-18-31,,
2017-12-30-18-38,,
2017-12-30-18-40,,
2017-12-30-19-38,,
2017-12-30-20-00,,
2017-12-31-06-56,,
2017-12-31-14-00,,
2017-12-31-14-46,,
2017-12-31-15-00,,
2017-12-31-16-00,,
2017-12-31-17-00,,
2017-12-31-18-07,,
2017-12-31-20-00,,
2017-12-31-21-20,,
2017-12-31-23-21,,
2018-01-01-00-00,,
2018-01-01-10-23,,
2018-01-01-11-35,,
2018-01-01-12-03,,
2018-01-01-13-00,,
2018-01-01-13-46,30,
2018-01-01-14-00,30,
2018-01-01-15-00,14,
2018-01-01-15-47,,
2018-01-01-16-23,,
2018-01-01-17-32,,
2018-01-02-01-00,,
2018-01-02-08-00,,
2018-01-02-21-00,,
2018-01-02-22-00,,
2018-01-02-23-00,,
2018-01-03-00-00,,
2018-01-03-01-25,,
2018-01-04-01-31,,
2018-01-04-06-11,,
2018-01-04-06-32,,
2018-01-04-06-37,,
2018-01-04-07-00,,
2018-01-04-08-00,,
2018-01-04-09-00,,
2018-01-04-10-00,,
2018-01-04-11-00,,
2018-01-04-12-00,,
2018-01-04-13-00,,
2018-01-04-14-00,,
2018-01-04-15-00,,
2018-01-04-16-00,,
2018-01-04-17-00,,
2018-01-04-18-00,,
2018-01-04-19-00,,
2018-01-04-20-00,,
2018-01-04-21-00,,
2018-01-04-22-00,,
2018-01-04-23-00,,
2018-01-05-00-00,,
2018-01-05-01-00,,
2018-01-05-02-00,,
2018-01-05-03-00,,
2018-01-05-04-00,,
2018-01-05-05-12,,
2018-01-05-05-13,,
2018-01-05-05-21,,
2018-01-05-06-00,,
2018-01-05-06-21,,
2018-01-05-07-00,,
2018-01-05-08-00,,
2018-01-05-09-00,,
2018-01-05-10-00,,
2018-01-05-11-00,,
2018-01-05-12-00,,
2018-01-05-13-00,,
2018-01-05-14-00,,
2018-01-05-15-00,,
2018-01-05-16-00,,
2018-01-05-17-00,,
2018-01-05-18-00,,
2018-01-05-19-00,,
2018-01-05-20-00,,
2018-01-05-21-00,,
2018-01-05-22-00,,
2018-01-05-23-00,,
2018-01-06-00-00,,
2018-01-06-01-00,,
2018-01-06-02-00,,
2018-01-06-03-00,,
2018-01-06-04-00,,
2018-01-06-05-00,,
2018-01-06-05-09,17,
2018-01-06-05-30,17,
2018-01-06-06-00,11,
2018-01-06-06-30,10,
2018-01-06-07-00,7,
2018-01-06-07-30,7,
2018-01-06-08-00,11,
2018-01-06-08-30,16,
2018-01-06-09-00,17,
2018-01-06-09-30,14,29
2018-01-06-10-00,16,27
2018-01-06-10-30,20,24
2018-01-06-11-00,16,24
2018-01-06-11-30,17,24
2018-01-06-12-00,28,24
2018-01-06-12-30,28,24
2018-01-06-13-00,,23
2018-01-06-13-30,21,22
2018-01-06-14-00,21,22
2018-01-06-14-30,22,19
2018-01-06-15-00,27,19
2018-01-06-15-30,29,18
2018-01-06-16-00,,20
2018-01-06-16-30,,20
2018-01-06-17-00,,19
2018-01-06-17-30,,18
2018-01-06-18-00,,18
2018-01-06-18-30,,18
2018-01-06-19-00,,18
